"","DHSID","DHSYEAR","DHSCLUST","LATNUM","LONGNUM","DATUM"
"1","BD201800000001",2018,1,21.907454,90.106474,"WGS84"
"2","BD201800000002",2018,2,22.171946,90.298709,"WGS84"
"3","BD201800000003",2018,3,22.16715,90.187479,"WGS84"
"4","BD201800000004",2018,4,22.195625,90.122065,"WGS84"
"5","BD201800000005",2018,5,22.348901,90.179272,"WGS84"
"6","BD201800000006",2018,6,22.151993,89.92755,"WGS84"
"7","BD201800000007",2018,7,22.941232,90.183298,"WGS84"
"8","BD201800000008",2018,8,22.869642,90.327852,"WGS84"
"9","BD201800000009",2018,9,22.585755,90.459976,"WGS84"
"10","BD201800000010",2018,10,22.481506,90.225066,"WGS84"
"11","BD201800000011",2018,11,22.751543,90.090022,"WGS84"
"12","BD201800000012",2018,12,23.031554,90.158503,"WGS84"
"13","BD201800000013",2018,13,22.958213,90.462954,"WGS84"
"14","BD201800000014",2018,14,22.722446,90.439081,"WGS84"
"15","BD201800000015",2018,15,22.773512,90.510097,"WGS84"
"16","BD201800000016",2018,16,22.830955,90.501394,"WGS84"
"17","BD201800000017",2018,17,22.922284,90.364305,"WGS84"
"18","BD201800000018",2018,18,22.780921,90.263736,"WGS84"
"19","BD201800000019",2018,19,22.871387,90.218032,"WGS84"
"20","BD201800000020",2018,20,22.739601,90.61467,"WGS84"
"21","BD201800000021",2018,21,22.681394,90.627882,"WGS84"
"22","BD201800000022",2018,22,22.503841,90.746643,"WGS84"
"23","BD201800000023",2018,23,22.25302,90.726762,"WGS84"
"24","BD201800000024",2018,24,22.107969,90.746173,"WGS84"
"25","BD201800000025",2018,25,22.102221,90.71185,"WGS84"
"26","BD201800000026",2018,26,22.569419,90.651327,"WGS84"
"27","BD201800000027",2018,27,22.28336,90.711848,"WGS84"
"28","BD201800000028",2018,28,22.249066,90.987612,"WGS84"
"29","BD201800000029",2018,29,22.422339,90.807642,"WGS84"
"30","BD201800000030",2018,30,22.658741,90.146001,"WGS84"
"31","BD201800000031",2018,31,22.381489,90.02957,"WGS84"
"32","BD201800000032",2018,32,22.563714,90.20904,"WGS84"
"33","BD201800000033",2018,33,22.551318,90.114836,"WGS84"
"34","BD201800000034",2018,34,22.510268,90.471287,"WGS84"
"35","BD201800000035",2018,35,22.454996,90.615645,"WGS84"
"36","BD201800000036",2018,36,22.146699,90.572269,"WGS84"
"37","BD201800000037",2018,37,21.99635,90.390402,"WGS84"
"38","BD201800000038",2018,38,22.236274,90.430266,"WGS84"
"39","BD201800000039",2018,39,22.066812,90.194806,"WGS84"
"40","BD201800000040",2018,40,22.050857,90.381872,"WGS84"
"41","BD201800000041",2018,41,22.417578,90.228178,"WGS84"
"42","BD201800000042",2018,42,22.31056,90.453173,"WGS84"
"43","BD201800000043",2018,43,22.481236,90.005467,"WGS84"
"44","BD201800000044",2018,44,22.627657,90.060176,"WGS84"
"45","BD201800000045",2018,45,22.280695,89.984821,"WGS84"
"46","BD201800000046",2018,46,22.788475,90.027407,"WGS84"
"47","BD201800000047",2018,47,22.729697,89.983822,"WGS84"
"48","BD201800000048",2018,48,22.794694,90.046491,"WGS84"
"49","BD201800000049",2018,49,22.757789,90.078531,"WGS84"
"50","BD201800000050",2018,50,22.301833,90.086874,"WGS84"
"51","BD201800000051",2018,51,22.177296,90.017112,"WGS84"
"52","BD201800000052",2018,52,22.789436,90.174962,"WGS84"
"53","BD201800000053",2018,53,22.837383,90.513882,"WGS84"
"54","BD201800000054",2018,54,22.68712,90.651313,"WGS84"
"55","BD201800000055",2018,55,22.682577,90.670485,"WGS84"
"56","BD201800000056",2018,56,22.178496,90.736993,"WGS84"
"57","BD201800000057",2018,57,22.396907,90.837806,"WGS84"
"58","BD201800000058",2018,58,22.643927,90.179932,"WGS84"
"59","BD201800000059",2018,59,22.40149,90.548655,"WGS84"
"60","BD201800000060",2018,60,21.988558,90.235642,"WGS84"
"61","BD201800000061",2018,61,22.358655,90.340973,"WGS84"
"62","BD201800000062",2018,62,22.495694,90.06846,"WGS84"
"63","BD201800000063",2018,63,22.582057,89.971813,"WGS84"
"64","BD201800000064",2018,64,22.743372,90.102135,"WGS84"
"65","BD201800000065",2018,65,22.710825,90.381846,"WGS84"
"66","BD201800000066",2018,66,22.708714,90.386435,"WGS84"
"67","BD201800000067",2018,67,22.704365,90.377539,"WGS84"
"68","BD201800000068",2018,68,22.705076,90.35935,"WGS84"
